year,mileage,tax,mpg,engineSize,price
2017,15944,150,57.7,1.0,12000
2018,9083,150,57.7,1.0,14000
2017,12456,150,57.7,1.0,13000
2019,10460,145,40.3,1.5,17500
2019,1482,145,48.7,1.0,16500
2015,35432,145,47.9,1.6,10500
2019,2029,145,50.4,1.0,22500
2017,13054,145,54.3,1.2,9000
2019,6894,145,42.2,2.0,25500
2018,48141,145,61.4,1.0,10000
2018,18803,145,56.5,1.0,11561
2018,12065,145,54.3,1.0,13500
2017,20978,0,65.7,1.0,11000
2018,9002,145,54.3,2.0,17999
2018,8970,145,58.9,1.5,18999
2018,12810,145,64.2,1.5,14399
2019,10428,145,38.2,2.0,17999
2018,14680,145,54.3,2.0,16899
2017,12427,20,62.8,1.0,10999
2019,25521,145,55.4,1.0,12500
2018,20400,145,55.4,1.1,9499
2017,24926,145,65.7,1.0,10500
2017,26163,145,65.7,1.0,8995
2014,59000,160,47.9,2.0,8995
2014,35299,0,65.7,1.0,6795
2017,13063,145,41.5,2.0,18499
2018,23800,145,68.9,1.5,11799
2015,25935,0,65.7,1.0,8299
2018,8700,145,58.9,1.0,12499
2017,25000,125,54.3,1.2,8699
2016,60730,0,78.5,1.5,7999
2017,18561,145,54.3,1.2,8991
2019,8400,145,60.1,1.0,18990
2013,39090,0,65.7,1.0,7236
2018,33149,145,58.9,1.5,15287
2019,24,145,65.7,2.0,20000
2020,558,145,53.3,1.0,20000
2019,3259,145,39.2,2.0,21378
2018,15100,145,65.7,1.0,9814
2018,25000,145,57.7,1.2,8261
2017,15612,145,65.7,1.0,8788
2018,8920,145,58.9,1.0,12251
2017,24803,145,60.1,2.0,16320
2019,7,145,48.7,1.1,13140
2018,43019,145,48.7,1.0,10491
2016,41607,145,54.3,2.0,13870
2017,23554,145,41.5,2.0,14960
2019,6923,145,58.9,1.0,13540
2019,10985,145,74.3,1.5,17970
2017,29617,20,68.9,1.5,9330
2016,47613,0,65.7,1.0,6000
2019,5122,145,43.5,1.2,8995
2019,32,145,48.7,1.2,8495
2016,31562,125,54.3,1.2,6395
2019,8131,145,58.9,1.0,14495
2018,24568,145,31.7,2.0,19995
2017,39605,145,54.3,2.0,18495
2019,11496,145,57.6,2.0,17995
2013,51271,30,54.3,1.2,5495
2018,7189,145,58.9,1.5,16995
2018,29428,145,54.3,1.5,16495
2018,12162,145,39.2,1.5,17998
2014,33023,160,44.1,1.6,7498
2019,2714,150,49.6,1.0,17498
2017,17051,150,56.5,2.0,17498
2013,44304,0,76.4,1.5,5998
2019,4844,145,34.4,1.5,17698
2016,31810,125,60.1,2.0,11000
2017,43081,145,44.8,1.5,8700
2017,47159,145,54.3,2.0,15300
2013,25000,0,65.7,1.0,7490
2017,29891,145,60.1,1.0,10760
2019,10237,145,39.2,1.5,18760
2014,48653,0,65.7,1.0,6360
2014,60888,0,65.7,1.0,6270
2017,15815,235,38.2,1.5,17920
2013,74128,0,65.7,1.0,4790
2015,50124,0,74.3,1.5,7830
2015,29851,0,76.4,1.5,6990
2016,24105,160,48.7,2.0,18640
2015,28935,30,54.3,1.2,6700
2018,30925,145,65.7,1.0,9498
2018,13418,145,58.9,1.0,13698
2018,13756,145,58.9,1.0,13298
2015,25175,145,54.3,2.0,14398
2017,21267,145,64.2,1.1,8998
2019,12130,145,56.5,1.0,12698
2019,17354,145,56.5,1.0,11998
2019,15822,145,58.9,1.0,13498
2019,10557,145,58.9,1.0,13498
2016,20786,20,61.4,1.0,9698
2016,7997,235,36.7,2.3,24995
2017,19079,145,65.7,1.0,9895
2018,14979,145,58.9,1.0,12995
2015,47904,125,56.5,1.6,9295
2016,24410,125,54.3,1.2,8495
2019,13600,145,58.9,1.0,13895
2018,21456,145,67.3,2.0,18298
2015,31512,0,74.3,1.5,9198
2016,11843,0,65.7,1.0,10798
2016,31373,0,65.7,1.0,8998
2018,7796,145,54.3,1.5,18498
2017,26597,145,54.3,2.0,13498
2017,15978,30,64.2,1.5,14998
2017,13265,240,38.2,1.5,13998
2016,20491,125,52.3,1.0,9998
2017,16310,125,50.4,1.0,10998
2017,14557,145,41.5,2.0,17698
2017,30917,125,51.4,1.0,11498
2017,22153,145,74.3,1.5,12798
2015,31743,30,55.4,1.0,8698
2019,13673,145,47.9,2.0,19495
2018,25776,145,65.7,1.0,9995
2016,30923,0,74.3,1.5,10995
2017,24504,150,64.2,1.5,13998
2017,6568,145,62.8,1.0,11998
2016,42960,30,61.4,1.5,8998
2018,5117,145,54.3,1.5,16698
2016,31736,125,53.3,1.0,8998
2015,19212,0,65.7,1.0,7998
2018,12426,145,65.7,1.0,12495
2017,12872,145,57.7,1.2,7995
2020,4111,145,50.4,1.0,21995
2018,34690,145,60.1,2.0,16995
2018,32168,145,65.7,1.0,11995
2019,11312,145,47.9,2.0,19995
2017,31559,145,65.7,1.0,8995
2017,23000,145,57.7,1.2,8295
2018,6442,145,54.3,1.0,14698
2016,29590,0,57.7,1.0,10498
2018,17030,145,57.7,1.0,14495
2016,22493,20,60.1,1.0,8995
