Date,number_sold
2013-01-01,841
2013-01-02,838
2013-01-03,840
2013-01-04,822
2013-01-05,871
2013-01-06,841
2013-01-07,826
2013-01-08,830
2013-01-09,859
2013-01-10,836
2013-01-11,847
2013-01-12,882
2013-01-13,813
2013-01-14,847
2013-01-15,837
2013-01-16,846
2013-01-17,849
2013-01-18,847
2013-01-19,877
2013-01-20,843
2013-01-21,861
2013-01-22,838
2013-01-23,836
2013-01-24,839
2013-01-25,866
2013-01-26,875
2013-01-27,839
2013-01-28,850
2013-01-29,862
2013-01-30,865
2013-01-31,857
2013-02-01,869
2013-02-02,889
2013-02-03,863
2013-02-04,861
2013-02-05,856
2013-02-06,863
2013-02-07,859
2013-02-08,850
2013-02-09,902
2013-02-10,870
2013-02-11,882
2013-02-12,860
2013-02-13,861
2013-02-14,878
2013-02-15,869
2013-02-16,903
2013-02-17,877
2013-02-18,877
2013-02-19,851
2013-02-20,888
2013-02-21,872
2013-02-22,864
2013-02-23,907
2013-02-24,882
2013-02-25,874
2013-02-26,855
2013-02-27,868
2013-02-28,880
2013-03-01,875
2013-03-02,887
2013-03-03,884
2013-03-04,873
2013-03-05,860
2013-03-06,889
2013-03-07,882
2013-03-08,883
2013-03-09,894
2013-03-10,877
2013-03-11,886
2013-03-12,878
2013-03-13,882
2013-03-14,885
2013-03-15,879
2013-03-16,907
2013-03-17,910
2013-03-18,891
2013-03-19,877
2013-03-20,881
2013-03-21,876
2013-03-22,870
2013-03-23,927
2013-03-24,868
2013-03-25,874
2013-03-26,895
2013-03-27,891
2013-03-28,897
2013-03-29,891
2013-03-30,915
2013-03-31,888
2013-04-01,891
2013-04-02,901
2013-04-03,900
2013-04-04,887
2013-04-05,877
2013-04-06,903
2013-04-07,894
2013-04-08,880
2013-04-09,900
2013-04-10,888
2013-04-11,885
2013-04-12,866
2013-04-13,899
2013-04-14,888
2013-04-15,871
2013-04-16,885
2013-04-17,874
2013-04-18,887
2013-04-19,890
2013-04-20,887
2013-04-21,867
2013-04-22,895
2013-04-23,863
2013-04-24,879
2013-04-25,878
2013-04-26,880
2013-04-27,881
2013-04-28,892
2013-04-29,885
2013-04-30,887
2013-05-01,882
2013-05-02,869
2013-05-03,886
2013-05-04,921
2013-05-05,869
2013-05-06,877
2013-05-07,867
2013-05-08,868
2013-05-09,878
2013-05-10,878
2013-05-11,870
2013-05-12,885
2013-05-13,868
2013-05-14,866
2013-05-15,865
2013-05-16,889
2013-05-17,871
2013-05-18,898
2013-05-19,866
2013-05-20,874
2013-05-21,858
2013-05-22,867
2013-05-23,875
2013-05-24,886
2013-05-25,877
2013-05-26,877
2013-05-27,840
2013-05-28,843
2013-05-29,845
2013-05-30,853
2013-05-31,861
2013-06-01,884
2013-06-02,854
2013-06-03,848
2013-06-04,864
2013-06-05,861
2013-06-06,851
2013-06-07,856
2013-06-08,888
2013-06-09,869
2013-06-10,842
2013-06-11,852
2013-06-12,851
2013-06-13,837
2013-06-14,841
2013-06-15,876
2013-06-16,851
2013-06-17,847
2013-06-18,843
2013-06-19,836
2013-06-20,845
2013-06-21,821
2013-06-22,880
2013-06-23,843
2013-06-24,840
2013-06-25,843
2013-06-26,840
2013-06-27,809
2013-06-28,838
2013-06-29,850
2013-06-30,821
2013-07-01,830
2013-07-02,833
2013-07-03,828
2013-07-04,831
2013-07-05,821
2013-07-06,843
2013-07-07,823
2013-07-08,828
2013-07-09,830
2013-07-10,829
2013-07-11,829
2013-07-12,813
2013-07-13,839
2013-07-14,810
2013-07-15,815
2013-07-16,814
2013-07-17,807
2013-07-18,816
2013-07-19,807
2013-07-20,821
2013-07-21,812
2013-07-22,809
2013-07-23,812
2013-07-24,802
2013-07-25,814
2013-07-26,813
2013-07-27,835
2013-07-28,800
2013-07-29,802
2013-07-30,812
2013-07-31,810
2013-08-01,807
2013-08-02,802
2013-08-03,828
2013-08-04,809
2013-08-05,787
2013-08-06,816
2013-08-07,791
2013-08-08,789
2013-08-09,794
2013-08-10,829
2013-08-11,793
2013-08-12,789
2013-08-13,804
2013-08-14,789
2013-08-15,797
2013-08-16,796
2013-08-17,829
2013-08-18,815
2013-08-19,787
2013-08-20,768
2013-08-21,812
2013-08-22,783
2013-08-23,794
2013-08-24,811
2013-08-25,775
2013-08-26,782
2013-08-27,785
2013-08-28,791
2013-08-29,792
2013-08-30,789
2013-08-31,810
2013-09-01,777
2013-09-02,770
2013-09-03,791
2013-09-04,777
2013-09-05,785
2013-09-06,781
2013-09-07,802
2013-09-08,783
2013-09-09,786
2013-09-10,793
2013-09-11,784
