Date,number_sold
10/19/2023,0
10/20/2023,0
10/21/2023,0
10/22/2023,0
10/23/2023,0
10/24/2023,0
10/25/2023,0
10/26/2023,0
10/27/2023,0
10/28/2023,0
10/29/2023,0
10/30/2023,50
10/31/2023,55
11/1/2023,60
11/2/2023,150
11/3/2023,200
11/4/2023,163
11/5/2023,70
11/6/2023,20
11/7/2023,0
11/8/2023,0
11/9/2023,0
11/10/2023,0
11/11/2023,103
11/12/2023,245
11/13/2023,596
11/14/2023,540
11/15/2023,689
11/16/2023,695
11/17/2023,700
11/18/2023,591
11/19/2023,415
11/20/2023,318
11/21/2023,120
11/22/2023,63
11/23/2023,0
11/24/2023,0
11/25/2023,0
11/26/2023,0
11/27/2023,0
11/28/2023,0
11/29/2023,0
11/30/2023,0
12/1/2023,150
12/2/2023,170
12/3/2023,260
12/4/2023,300
12/5/2023,215
12/6/2023,116
12/7/2023,56
12/8/2023,0
12/9/2023,0
12/10/2023,0
12/11/2023,0
12/12/2023,0
12/13/2023,0
12/14/2023,0
12/15/2023,105
12/16/2023,255
12/17/2023,556
12/18/2023,544
12/19/2023,693
12/20/2023,696
12/21/2023,700
12/22/2023,581
12/23/2023,405
12/24/2023,308
12/25/2023,101
12/26/2023,43
12/27/2023,56
12/28/2023,0
12/29/2023,0
12/30/2023,0
12/31/2023,0
1/1/2024,0
1/2/2024,0
1/3/2024,0
1/4/2024,0
1/5/2024,0
1/6/2024,0
1/7/2024,0
1/8/2024,0
1/9/2024,0
1/10/2024,0
1/11/2024,0
1/12/2024,0
1/13/2024,0
1/14/2024,0
1/15/2024,0
1/16/2024,0
1/17/2024,0
1/18/2024,0
1/19/2024,0
1/20/2024,0
1/21/2024,0
1/22/2024,0
1/23/2024,0
1/24/2024,0
1/25/2024,0
1/26/2024,0
1/27/2024,0
1/28/2024,0
1/29/2024,0
1/30/2024,0
1/31/2024,0
2/1/2024,0
2/2/2024,0
2/3/2024,0
2/4/2024,0
2/5/2024,0
2/6/2024,0
2/7/2024,0
2/8/2024,0
2/9/2024,0
2/10/2024,155
2/11/2024,200
2/12/2024,264
2/13/2024,320
2/14/2024,219
2/15/2024,119
2/16/2024,66
2/17/2024,0
2/18/2024,0
2/19/2024,0
2/20/2024,0
2/21/2024,0
2/22/2024,0
2/23/2024,0
2/24/2024,0
2/25/2024,0
2/26/2024,110
2/27/2024,305
2/28/2024,586
2/29/2024,554
3/1/2024,683
3/2/2024,696
3/3/2024,710
3/4/2024,591
3/5/2024,400
3/6/2024,300
3/7/2024,90
3/8/2024,40
3/9/2024,0
3/10/2024,0
3/11/2024,0
3/12/2024,0
3/13/2024,0
3/14/2024,0
3/15/2024,0
3/16/2024,0
3/17/2024,0
3/18/2024,0
