Total Area (SQFT),Price (USD),Renovated
1302,233281,TRUE
3232,435171,TRUE
599,97616,FALSE
2456,96589,FALSE
2996,452150,TRUE
3397,253802,FALSE
1139,71814,FALSE
2883,113995,FALSE
2440,345788,TRUE
3416,259778,FALSE
2425,135479,FALSE
3393,255467,FALSE
3091,439169,TRUE
1044,201759,FALSE
824,9823,FALSE
1476,22512,FALSE
1256,104688,FALSE
1274,271883,TRUE
1655,129092,FALSE
873,275635,FALSE
2153,257839,TRUE
2620,300116,TRUE
651,125738,FALSE
2839,292873,TRUE
2199,57792,FALSE
2278,192438,TRUE
777,9823,FALSE
3458,436551,TRUE
3148,301522,FALSE
3058,206784,FALSE
2576,262934,TRUE
3107,264908,FALSE
3327,344185,TRUE
2722,288265,TRUE
2377,309122,TRUE
1335,130703,FALSE
1205,299616,TRUE
2508,243745,TRUE
2635,90933,FALSE
2946,338118,TRUE
591,88977,FALSE
2605,61423,FALSE
2141,400457,TRUE
2105,271610,TRUE
757,59820,FALSE
1139,88440,FALSE
1159,197891,TRUE
2089,213889,TRUE
1845,88094,FALSE
773,137757,FALSE
3339,353664,TRUE
2546,164122,FALSE
584,94442,FALSE
1667,100590,FALSE
1388,230620,TRUE
2371,421469,TRUE
930,34419,FALSE
1704,178670,TRUE
1263,273898,TRUE
2420,264225,TRUE
923,33718,FALSE
1533,116867,FALSE
2676,139902,FALSE
2524,123295,FALSE
3099,327000,TRUE
3223,322476,TRUE
1571,176386,TRUE
3181,346838,TRUE
1060,334433,TRUE
3325,233410,FALSE
1214,231364,TRUE
1472,281595,TRUE
2328,158726,TRUE
3456,252047,FALSE
3457,465432,TRUE
2751,315914,TRUE
1255,185915,TRUE
3398,195247,FALSE
2862,348180,TRUE
3091,329828,TRUE
1297,176914,TRUE
1829,339310,TRUE
3147,247198,FALSE
2201,199458,TRUE
1966,325737,TRUE
2676,351371,TRUE
2536,427625,TRUE
1037,152542,FALSE
3267,368089,TRUE
2792,373189,TRUE
3245,418255,TRUE
1707,146593,TRUE
1255,218025,TRUE
3159,311326,TRUE
888,241222,FALSE
3430,530239,TRUE
2717,183964,FALSE
2663,300458,TRUE
2231,287778,TRUE
2184,100381,FALSE
