Total Area (SQFT),Price (USD),Renovated
3232,435171,FALSE
3107,264908,FALSE
2153,257839,TRUE
1335,130703,TRUE
1263,273898,TRUE
2231,287778,TRUE
1533,116867,FALSE
2278,192438,FALSE
2328,158726,FALSE
3147,247198,FALSE
3148,301522,FALSE
2862,348180,FALSE
1205,299616,TRUE
3099,327000,FALSE
2635,90933,FALSE
2722,288265,FALSE
3397,253802,FALSE
2201,199458,FALSE
1037,152542,TRUE
3393,255467,FALSE
2620,300116,FALSE
3325,233410,FALSE
2440,345788,TRUE
2663,300458,FALSE
1476,22512,FALSE
1255,218025,TRUE
2546,164122,FALSE
2371,421469,FALSE
2996,452150,FALSE
3398,195247,FALSE
599,97616,FALSE
2508,243745,TRUE
1255,185915,TRUE
1297,176914,TRUE
1159,197891,TRUE
3458,436551,FALSE
923,33718,FALSE
3245,418255,FALSE
1139,88440,FALSE
1044,201759,TRUE
3091,329828,FALSE
1214,231364,TRUE
2792,373189,FALSE
651,125738,FALSE
3223,322476,FALSE
3058,206784,FALSE
3430,530239,FALSE
1707,146593,TRUE
2576,262934,TRUE
1302,233281,TRUE
2676,139902,FALSE
2676,351371,FALSE
2456,96589,FALSE
2425,135479,FALSE
1256,104688,FALSE
773,137757,FALSE
2883,113995,FALSE
888,241222,FALSE
2141,400457,FALSE
1966,325737,TRUE
3091,439169,FALSE
1388,230620,TRUE
757,59820,FALSE
1845,88094,FALSE
2605,61423,FALSE
2839,292873,FALSE
3327,344185,FALSE
930,34419,FALSE
591,88977,FALSE
2420,264225,TRUE
2946,338118,FALSE
3159,311326,FALSE
2089,213889,TRUE
3456,252047,FALSE
3181,346838,FALSE
584,94442,FALSE
2751,315914,FALSE
1274,271883,TRUE
1571,176386,TRUE
1139,71814,FALSE
2536,427625,FALSE
1655,129092,FALSE
1472,281595,TRUE
3416,259778,FALSE
1704,178670,TRUE
2524,123295,FALSE
1667,100590,FALSE
2184,100381,FALSE
3339,353664,FALSE
3267,368089,FALSE
3457,465432,FALSE
873,275635,FALSE
2377,309122,TRUE
1060,334433,TRUE
1829,339310,TRUE
2105,271610,TRUE
2717,183964,FALSE
2199,57792,FALSE
1561,411448,TRUE
735,367123,FALSE
1596,364322,TRUE
1405,470396,FALSE
1460,213255,TRUE
644,456618,FALSE
629,468310,FALSE
1702,187904,TRUE
1800,376969,TRUE
1778,339442,TRUE
857,282742,FALSE
752,480102,FALSE
1168,354279,TRUE
2946,405328,FALSE
1062,490710,FALSE
1253,369327,TRUE
2027,246309,TRUE
2388,441393,FALSE
1610,188694,TRUE
2689,446032,FALSE
2525,434309,FALSE
1531,349741,TRUE
819,495249,FALSE
1837,356626,TRUE
2420,477441,FALSE
816,384341,FALSE
2757,396788,FALSE
1788,418560,TRUE
1228,444247,TRUE
931,218328,TRUE
1133,337973,TRUE
1042,136071,TRUE
1595,156416,TRUE
1911,370291,TRUE
1978,318137,TRUE
1837,482449,FALSE
1015,364333,TRUE
997,275316,TRUE
2112,435476,FALSE
2344,453067,FALSE
1860,169254,TRUE
1383,494957,FALSE
1821,395608,TRUE
515,495195,FALSE
2744,410159,FALSE
525,318648,FALSE
1995,370786,TRUE
2427,114535,FALSE
1806,259541,TRUE
2140,413764,FALSE
1546,477701,FALSE
2301,381336,FALSE
1650,291784,TRUE
1803,462715,FALSE
655,282961,FALSE
813,192529,FALSE
1148,154575,TRUE
1812,396397,TRUE
2179,476232,FALSE
743,171118,FALSE
1872,219440,TRUE
1714,138122,TRUE
1428,115917,FALSE
2252,383075,FALSE
1675,442990,TRUE
1195,294944,TRUE
1845,497725,FALSE
1893,128735,FALSE
2369,474307,FALSE
2295,375381,FALSE
1777,241954,TRUE
961,285812,TRUE
2298,228595,TRUE
1064,170704,TRUE
969,280022,TRUE
1978,320448,TRUE
2038,436125,FALSE
2112,477500,FALSE
2697,261847,FALSE
1215,478143,FALSE
2811,178046,FALSE
2625,123882,FALSE
1599,342824,TRUE
1567,220419,TRUE
1032,410304,TRUE
2072,105716,FALSE
1371,205641,TRUE
2299,215520,TRUE
1464,138099,TRUE
2758,421560,FALSE
596,305937,FALSE
769,298302,FALSE
2827,127534,FALSE
2427,261267,TRUE
1389,320947,TRUE
652,358134,FALSE
2238,272423,TRUE
2964,311683,FALSE
1106,492245,FALSE
989,216143,TRUE
