Education Level,Workplace Location,Years of Work Experience,Income Level
Bachelor's Degree,Rural Area,4.1,Low
High School,Suburban Area,19.1,High
Master's Degree,Suburban Area,7.2,Medium
High School,Suburban Area,14.2,High
High School,Urban Area,11.0,Low
High School,Urban Area,5.1,Low
High School,Suburban Area,10.0,Medium
High School,Suburban Area,13.9,High
Bachelor's Degree,Suburban Area,9.1,Low
Bachelor's Degree,Suburban Area,16.0,High
Master's Degree,Suburban Area,15.1,High
High School,Suburban Area,14.6,High
Master's Degree,Rural Area,7.7,Low
Bachelor's Degree,Suburban Area,4.6,Medium
Bachelor's Degree,Urban Area,6.9,High
Bachelor's Degree,Urban Area,11.0,Medium
High School,Urban Area,12.7,High
High School,Suburban Area,1.0,Low
Bachelor's Degree,Urban Area,10.0,High
Master's Degree,Rural Area,10.8,Low
Master's Degree,Suburban Area,8.6,Low
Bachelor's Degree,Urban Area,16.5,High
Master's Degree,Rural Area,12.1,High
Bachelor's Degree,Rural Area,16.6,High
Master's Degree,Urban Area,8.9,High
Bachelor's Degree,Rural Area,14.7,High
Master's Degree,Urban Area,18.2,High
High School,Rural Area,16.6,High
Bachelor's Degree,Suburban Area,4.5,Low
Bachelor's Degree,Suburban Area,8.7,Medium
Master's Degree,Suburban Area,8.3,Medium
Bachelor's Degree,Suburban Area,12.4,High
Bachelor's Degree,Suburban Area,13.4,High
Bachelor's Degree,Urban Area,5.8,Medium
High School,Suburban Area,10.3,High
High School,Suburban Area,1.0,Medium
Master's Degree,Suburban Area,17.2,High
High School,Suburban Area,7.4,High
Master's Degree,Rural Area,10.3,High
High School,Suburban Area,8.5,Low
Master's Degree,Suburban Area,15.7,High
High School,Urban Area,1.0,Low
High School,Rural Area,9.9,Medium
Master's Degree,Urban Area,9.5,Medium
Bachelor's Degree,Suburban Area,7.7,Low
Bachelor's Degree,Urban Area,18.6,High
High School,Urban Area,5.6,Medium
Master's Degree,Suburban Area,13.9,High
Bachelor's Degree,Rural Area,11.8,High
Master's Degree,Rural Area,16.3,High
Bachelor's Degree,Urban Area,6.7,Medium
Master's Degree,Suburban Area,6.3,Medium
High School,Urban Area,15.5,High
Master's Degree,Urban Area,12.1,High
Bachelor's Degree,Urban Area,2.3,Medium
High School,Suburban Area,7.3,Low
Master's Degree,Suburban Area,11.9,High
Bachelor's Degree,Rural Area,14.2,High
High School,Suburban Area,6.6,Medium
Master's Degree,Urban Area,1.0,Medium
Bachelor's Degree,Urban Area,12.6,High
Master's Degree,Rural Area,3.9,Medium
Master's Degree,Suburban Area,1.0,Low
High School,Urban Area,1.0,High
High School,Rural Area,14.1,High
Bachelor's Degree,Rural Area,10.6,High
High School,Urban Area,8.9,High
Bachelor's Degree,Urban Area,16.9,High
Master's Degree,Suburban Area,13.2,High
Master's Degree,Rural Area,18.1,High
Bachelor's Degree,Urban Area,3.0,Medium
Master's Degree,Rural Area,9.8,High
High School,Suburban Area,1.9,High
Master's Degree,Urban Area,8.9,High
High School,Suburban Area,8.8,High
Bachelor's Degree,Rural Area,13.1,High
Bachelor's Degree,Suburban Area,10.2,Low
Master's Degree,Suburban Area,13.1,High
Master's Degree,Rural Area,13.5,High
High School,Suburban Area,20.8,High
High School,Rural Area,8.4,Medium
Master's Degree,Urban Area,5.3,High
