Age Group,Marital Status,Monthly Income (USD),Monthly Expenses (USD),Financial Satisfaction
Older Adult,Married,6645,3661,Satisfied
Young Adult,Divorced,5581,3087,Dissatisfied
Young Adult,Divorced,4474,4989,Dissatisfied
Older Adult,Single,9913,1382,Satisfied
Middle Aged,Divorced,2213,,Neutral
Middle Aged,Single,3624,1173,Neutral
Older Adult,Single,4102,1307,Satisfied
Middle Aged,Divorced,9803,3473,Satisfied
Middle Aged,Single,,,Neutral
Young Adult,Divorced,5166,5645,Dissatisfied
Older Adult,Divorced,4354,2105,Satisfied
Middle Aged,,8186,1263,Neutral
Older Adult,Single,3334,1166,Satisfied
,Married,7598,2112,Neutral
Young Adult,Divorced,4750,3272,Dissatisfied
Older Adult,Married,4203,2556,Satisfied
Older Adult,Divorced,5841,1942,Satisfied
Young Adult,Married,,2219,Dissatisfied
Middle Aged,Single,2207,3310,Neutral
Older Adult,Married,5529,1418,Satisfied
Older Adult,,4670,1179,Satisfied
Older Adult,Married,2552,1789,Satisfied
Young Adult,Divorced,8655,5587,Dissatisfied
Older Adult,Divorced,5467,,Satisfied
Young Adult,Single,4515,1490,Satisfied
Young Adult,Divorced,4197,3956,Dissatisfied
Middle Aged,Married,9926,1854,Satisfied
Middle Aged,Divorced,6367,4264,Neutral
Older Adult,Married,6873,1437,Satisfied
Older Adult,Married,4400,4003,Satisfied
Older Adult,Divorced,2399,5832,Dissatisfied
Middle Aged,,9062,3554,Satisfied
,Divorced,7576,3537,Satisfied
Older Adult,Single,7423,3934,Satisfied
Older Adult,Married,,4361,Satisfied
Young Adult,Divorced,,3847,Dissatisfied
Young Adult,Married,2649,4560,Satisfied
Young Adult,Divorced,,5223,Dissatisfied
,Divorced,9824,3159,Satisfied
,Single,7756,1639,Satisfied
,Single,9180,2306,Satisfied
Older Adult,Married,,2610,Satisfied
Older Adult,Single,9137,1670,Satisfied
Middle Aged,Married,,,Satisfied
Young Adult,,3508,4515,Satisfied
,,9872,4754,Neutral
Older Adult,,7730,4976,Neutral
,,7749,4092,Satisfied
Older Adult,Single,3559,,Satisfied
Older Adult,Married,4131,4154,Satisfied
Young Adult,,8489,,Satisfied
Older Adult,Single,3531,3123,Satisfied
,Single,,2816,Neutral
Older Adult,Single,5588,1043,Satisfied
Middle Aged,Divorced,,4540,Neutral
Middle Aged,Single,3660,2498,Neutral
Older Adult,Married,,4314,Satisfied
Middle Aged,Divorced,5588,2829,Neutral
Young Adult,Divorced,5736,3197,Dissatisfied
Middle Aged,,7403,4287,Neutral
Young Adult,Divorced,9548,4759,Dissatisfied
Middle Aged,Single,7523,2248,Neutral
Older Adult,,6396,1851,Satisfied
,,4974,2779,Neutral
Young Adult,,8956,3736,Dissatisfied
Young Adult,Married,3234,5411,Satisfied
,Divorced,2317,3579,Dissatisfied
Middle Aged,,8133,3764,Satisfied
Young Adult,Divorced,7418,5389,Dissatisfied
Middle Aged,Single,,3995,Neutral
Older Adult,Divorced,3857,2671,Satisfied
Older Adult,Married,8271,3124,Satisfied
Middle Aged,Divorced,,5056,Neutral
,,7237,3979,Satisfied
Middle Aged,Divorced,8917,4650,Neutral
Older Adult,Married,3806,1480,Satisfied
Middle Aged,Single,9034,3772,Neutral
Middle Aged,Divorced,3692,5393,Neutral
Older Adult,Married,4171,1967,Satisfied
Middle Aged,Married,9694,1829,Neutral
Middle Aged,Single,5775,3497,Neutral
Older Adult,Single,8933,5984,Satisfied
Older Adult,Divorced,6212,2832,Neutral
Middle Aged,Divorced,5793,5270,Neutral
Young Adult,Divorced,3305,3772,Dissatisfied
Middle Aged,Divorced,3599,2848,Neutral
Older Adult,Divorced,8984,3723,Neutral
Middle Aged,Single,8910,4549,Neutral
Young Adult,Single,4953,3182,Satisfied
Older Adult,Married,3219,3980,Satisfied
Young Adult,Divorced,,2206,Dissatisfied
,Divorced,4271,,Dissatisfied
Middle Aged,,6452,5361,Neutral
Middle Aged,Married,3898,3634,Dissatisfied
,Married,7220,,Neutral
,Married,2945,1127,Satisfied
Older Adult,Single,9040,2276,Satisfied
Young Adult,Divorced,,2334,Dissatisfied
Young Adult,Divorced,,2487,Dissatisfied
Older Adult,Divorced,8662,3746,Dissatisfied
Middle Aged,Married,3239,,Neutral
,Single,2462,,Dissatisfied
Middle Aged,Divorced,5966,4960,Neutral
Older Adult,Married,6836,4964,Satisfied
Middle Aged,,6624,2395,Satisfied
Young Adult,Married,,4321,Dissatisfied
Young Adult,Divorced,4938,,Dissatisfied
,Married,3131,2806,Dissatisfied
Older Adult,Married,8295,,Satisfied
Middle Aged,Divorced,2397,3272,Satisfied
Young Adult,Divorced,7580,2482,Satisfied
Middle Aged,Single,4265,1640,Dissatisfied
Older Adult,,4783,2732,Satisfied
Young Adult,Single,,1353,Dissatisfied
Young Adult,Married,3770,2965,Dissatisfied
Older Adult,Divorced,2535,2237,Satisfied
Older Adult,Divorced,6738,1888,Satisfied
Middle Aged,,9937,5528,Neutral
Young Adult,Single,5714,5640,Dissatisfied
,,4580,4110,Neutral
,Single,5291,1687,Neutral
Middle Aged,Married,7253,2381,Satisfied
Older Adult,,3912,,Satisfied
Older Adult,Divorced,9069,5182,Satisfied
Young Adult,Divorced,8247,1930,Satisfied
,Single,8242,4628,Neutral
,Married,,3409,Dissatisfied
Older Adult,Married,,,Satisfied
Middle Aged,Single,6662,1231,Satisfied
Young Adult,,3011,5963,Dissatisfied
Middle Aged,,,2185,Neutral
Older Adult,Single,7598,1757,Satisfied
Older Adult,Single,3075,3155,Dissatisfied
Young Adult,Single,2976,2312,Dissatisfied
Older Adult,,9958,3827,Satisfied
Middle Aged,Married,4576,2785,Satisfied
Young Adult,Divorced,3817,,Dissatisfied
Middle Aged,Married,,2720,Neutral
Middle Aged,Single,8886,5653,Neutral
Young Adult,Single,4329,1860,Dissatisfied
Young Adult,Divorced,,1885,Dissatisfied
Middle Aged,Divorced,3840,2008,Dissatisfied
Older Adult,Married,,3480,Satisfied
Older Adult,Married,2709,1427,Satisfied
Young Adult,Divorced,3549,2258,Dissatisfied
Older Adult,Divorced,3192,4039,Dissatisfied
Young Adult,Divorced,5792,3452,Dissatisfied
Middle Aged,Married,9927,3444,Satisfied
Older Adult,Divorced,9300,3554,Neutral
Older Adult,Married,4543,3523,Satisfied
Middle Aged,Single,6024,2291,Neutral
Older Adult,Divorced,5426,5871,Satisfied
,Married,4768,1879,Neutral
Middle Aged,,2440,2026,Neutral
Older Adult,Married,6645,3661,Satisfied
Young Adult,Divorced,5581,3087,Satisfied
Young Adult,Divorced,4474,4989,Dissatisfied
Older Adult,Single,9913,1382,Satisfied
Middle Aged,Divorced,2213,2201,Neutral
Middle Aged,Single,3624,1173,Neutral
Older Adult,Married,,4314,Satisfied
Middle Aged,Divorced,5588,2829,Neutral
Young Adult,Divorced,5736,3197,Dissatisfied
Middle Aged,,7403,4287,Neutral
Young Adult,Divorced,9548,4759,Dissatisfied
Middle Aged,Single,7523,2248,Neutral
Middle Aged,Divorced,5793,5270,Neutral
