Area,Perimeter,MajorAxisLength,MinorAxisLength,AspectRation,Eccentricity,ConvexArea,EquivDiameter,Extent,Solidity,roundness,Compactness,ShapeFactor1,ShapeFactor2,ShapeFactor3,ShapeFactor4,Class
27761,632.209,250.318697,141.4044702,1.770231851,0.825160909,28012,188.0063909,0.67381068,0.991039554,0.872817855,0.751068111,0.009016919,0.001769927,0.564103307,0.998593642,DERMASON
37611,720.306,264.9797763,181.2434454,1.462010258,0.729491639,38009,218.8328415,0.797891298,0.989528796,0.910941903,0.825847333,0.007045273,0.002021514,0.682023817,0.997125817,SIRA
56313,926.125,370.4449996,194.9357486,1.900344099,0.850348163,56975,267.7684419,0.80254532,0.988380869,0.825048184,0.722829144,0.006578321,0.001107739,0.522481971,0.992895531,HOROZ
77418,1116.981,364.8569284,270.7538285,1.347559628,0.670308901,79163,313.9612382,0.765726381,0.977956874,0.77975872,0.860505074,0.004712818,0.001593948,0.740468982,0.997826106,BARBUNYA
163117,1524.028,560.180104,371.8570345,1.506439443,0.747895106,165192,455.7269082,0.731154889,0.987438859,0.882517238,0.813536405,0.003434223,0.000927932,0.661841483,0.997024115,BOMBAY
30969,651.527,230.1640831,171.903953,1.338910939,0.664963713,31318,198.5722928,0.733688699,0.988856249,0.916794945,0.86274231,0.00743208,0.002539888,0.744324294,0.996583939,DERMASON
31972,661.829,243.9211798,167.5224022,1.45605111,0.726856769,32321,201.7622728,0.799180123,0.989202067,0.917250764,0.827161762,0.007629212,0.002203034,0.68419658,0.99622519,DERMASON
38730,727.406,269.0956667,183.6507878,1.46525735,0.730909899,39151,222.064332,0.741783498,0.989246763,0.919821598,0.825224482,0.00694799,0.001987593,0.680995445,0.997833581,DERMASON
61045,994.105,402.4537469,193.6339248,2.078425809,0.876647413,61812,278.7918722,0.765320195,0.987591406,0.776238977,0.692730219,0.006592739,0.000936488,0.479875156,0.99738491,HOROZ
48973,835.903,303.0129595,207.0413164,1.463538606,0.730160708,49584,249.7085506,0.687581608,0.987677477,0.880754367,0.824085382,0.006187347,0.001760245,0.679116717,0.993913534,SIRA
38533,719.241,251.8181995,195.1590789,1.290322751,0.631961358,38942,221.4988473,0.784147334,0.989497201,0.93603872,0.879598249,0.006535131,0.002413079,0.77369308,0.998313783,SEKER
50678,858.577,323.5980611,201.1319829,1.608884159,0.783375455,51484,254.0181758,0.741231534,0.984344651,0.863914634,0.784980525,0.006385376,0.001495553,0.616194424,0.991385448,SIRA
50431,854.817,330.7304404,194.6436653,1.69915851,0.808477846,50898,253.3983889,0.674887922,0.990824787,0.867283617,0.766178005,0.006558078,0.001394039,0.587028735,0.99745487,SIRA
165330,1540.253,574.5353992,368.8620488,1.557588809,0.766689592,167922,458.8079053,0.776744186,0.984564262,0.875744469,0.798572039,0.003475083,0.000871769,0.637717302,0.993301332,BOMBAY
59305,971.655,391.6593617,194.8650675,2.009900321,0.867442691,60395,274.7898674,0.703516098,0.981952148,0.789363416,0.701604236,0.006604154,0.000987111,0.492248504,0.989370427,HOROZ
37256,693.806,245.9339799,193.0760709,1.273767271,0.61940354,37502,217.7976411,0.775068653,0.99344035,0.972590418,0.885593935,0.006601191,0.002504613,0.784276618,0.998985888,SEKER
48448,833.818,311.2057975,198.9274833,1.564418311,0.769027892,48955,248.3664822,0.697836545,0.98964355,0.875675472,0.798077941,0.006423501,0.001607433,0.6369284,0.996422452,SIRA
30689,657.065,233.0480921,168.5126085,1.382971246,0.690763425,31127,197.6725787,0.804725194,0.985928615,0.893255981,0.848205093,0.007593864,0.002424633,0.71945188,0.994981263,DERMASON
194219,1695.206,639.867505,392.1446533,1.63171294,0.790197019,197270,497.2799123,0.820812449,0.984533888,0.849291184,0.777160753,0.003294567,0.000741347,0.603978837,0.985520083,BOMBAY
27285,612.003,227.4604476,153.2213987,1.484521415,0.739079904,27594,186.3876095,0.738510258,0.988801913,0.915433329,0.819428659,0.008336465,0.002318496,0.671463327,0.996801688,DERMASON
41929,742.531,263.701083,202.8752946,1.299818608,0.638841813,42257,231.0533723,0.800171756,0.992237972,0.955641913,0.876194249,0.006289229,0.00228654,0.767716361,0.997892012,SEKER
40748,760.445,294.9468402,176.4278662,1.671770149,0.801370463,41191,227.7761291,0.771669349,0.989245223,0.885483645,0.772261635,0.007238315,0.00158809,0.596388033,0.997023711,DERMASON
57150,956.504,396.9845225,184.0545577,2.156885043,0.886028085,57820,269.7510704,0.67861214,0.988412314,0.784969021,0.67950022,0.006946361,0.000913473,0.461720549,0.995878146,HOROZ
48407,828.83,318.89584,193.6381833,1.646864449,0.794537936,48908,248.2613676,0.748314989,0.989756277,0.885497028,0.778502998,0.006587804,0.001492662,0.606066918,0.998110062,SIRA
89001,1134.402,436.0457977,262.2569509,1.662666313,0.798915268,90415,336.6297561,0.802881319,0.984361002,0.869102068,0.772005505,0.004899336,0.001073491,0.595992499,0.990936652,CALI
48007,809.638,284.681009,214.8948298,1.324745734,0.655883835,48696,247.2335148,0.741535372,0.985850994,0.920306871,0.868458053,0.00592999,0.002080794,0.75421939,0.999148919,SEKER
89042,1128.166,436.5462293,261.1475299,1.671646021,0.801337307,89791,336.7072847,0.8158512,0.991658407,0.879141449,0.771298117,0.0049027,0.001070297,0.594900785,0.994463531,CALI
40476,761.131,285.5691268,181.6084965,1.572443648,0.771727924,41221,227.0146335,0.706338126,0.981926688,0.877988101,0.794955099,0.00705527,0.001738056,0.63195361,0.99371144,SIRA
75359,1046.443,395.4351708,245.0744695,1.613530662,0.784792263,76422,309.758065,0.725764201,0.986090393,0.864796327,0.783334635,0.005247352,0.001218735,0.61361315,0.990083631,CALI
77949,1084.24,434.3775102,230.3172675,1.885996282,0.847857763,79294,315.0361079,0.679152073,0.983037809,0.833238947,0.725258791,0.005572586,0.000951061,0.526000314,0.992034636,CALI
44362,845.277,350.7674002,161.6311911,2.170171474,0.887507598,44851,237.6624764,0.584911133,0.989097233,0.780230418,0.677550069,0.007906934,0.001027906,0.459074097,0.996269509,HOROZ
76592,1094.186,429.0375007,228.8137347,1.875051344,0.845914377,77712,312.281865,0.66951049,0.985587811,0.803916545,0.727866129,0.005601597,0.000969835,0.529789102,0.993381768,CALI
38830,710.511,249.0252004,198.7498551,1.252957896,0.602509891,39153,222.3508298,0.765123153,0.991750313,0.966575188,0.892884855,0.006413217,0.002514418,0.797243363,0.998912367,SEKER
49550,849.16,332.5499666,190.9474734,1.74157825,0.818720797,50319,251.1752763,0.697808698,0.984717502,0.863524107,0.755300862,0.006711402,0.001347327,0.570479392,0.993534501,SIRA
55430,943.99,383.6370578,191.48976,2.003433802,0.866519616,58228,265.6608138,0.712971895,0.951947517,0.78166372,0.692479541,0.006921109,0.00098171,0.479527915,0.960702434,HOROZ
45684,799.811,293.4970999,199.0398848,1.474564258,0.734908344,46175,241.1776842,0.72120485,0.98936654,0.897427227,0.821737878,0.006424505,0.001806977,0.675253141,0.995704146,SIRA
27815,613.813,228.5974907,155.3319184,1.471671071,0.733675818,28104,188.1891547,0.777498253,0.989716766,0.927719668,0.823233685,0.008218497,0.002328438,0.6777137,0.997371647,DERMASON
66997,978.189,381.1363,226.2628141,1.684484928,0.804720936,68032,292.0671666,0.788422613,0.984786571,0.879872351,0.766306349,0.005688856,0.001210081,0.587225421,0.98917237,CALI
64654,956.994,359.5664068,230.4623552,1.560195835,0.767586657,65352,286.9146729,0.708412771,0.989319378,0.887129116,0.797946269,0.005561395,0.001390779,0.636718249,0.99340516,CALI
40623,754.292,292.6719883,177.0996213,1.65258393,0.796139606,40977,227.4264937,0.72107141,0.991361007,0.897228073,0.777069562,0.007204588,0.001620423,0.603837104,0.997891494,DERMASON
44336,789.82,297.8508897,190.4237142,1.564148095,0.76893609,44823,237.5928207,0.757802619,0.989135042,0.893120625,0.797690485,0.006718037,0.001677876,0.63631011,0.995283246,SIRA
81887,1101.864,418.6523267,252.0367097,1.661076782,0.798481663,83140,322.8959068,0.774674803,0.984929035,0.847556847,0.771274602,0.005112562,0.001115975,0.594864512,0.988115629,CALI
42215,767.14,282.8846158,190.5816345,1.48432254,0.738997634,42674,231.840047,0.789360509,0.989244036,0.901420439,0.819556929,0.006701045,0.001864828,0.67167356,0.996980205,SIRA
68352,1003.918,399.5254213,219.8800951,1.817014956,0.834931945,69077,295.0058802,0.783000172,0.989504466,0.852245288,0.738390762,0.005845117,0.00107181,0.545220917,0.990674561,CALI
47248,862.652,355.814153,170.2606043,2.089820805,0.878082143,47697,245.2713233,0.603954954,0.99058641,0.797851428,0.689324247,0.007530777,0.001048851,0.475167918,0.993015801,HOROZ
38348,705.689,241.9954291,201.8432332,1.198927629,0.551645466,38638,220.9664908,0.771279163,0.992494436,0.967666903,0.91310192,0.00631051,0.002705959,0.833755115,0.999612044,SEKER
46243,800.216,299.5363521,197.3083247,1.518113098,0.752394781,46768,242.6487508,0.749578552,0.988774376,0.907489071,0.810081144,0.006477442,0.001720669,0.65623146,0.996233575,SIRA
75810,1043.229,393.0424863,247.1105818,1.590553037,0.777638121,76802,310.6835848,0.80557238,0.98708367,0.875340572,0.790458018,0.005184573,0.001248556,0.624823879,0.993815518,CALI
55319,933.642,380.0179284,187.0291552,2.031864647,0.870505455,55840,265.3946842,0.808261009,0.990669771,0.797486655,0.698374114,0.006869573,0.001008004,0.487726404,0.990994037,HOROZ
201491,1671.7,610.8914983,421.5739849,1.449073046,0.723717519,203393,506.504007,0.796800791,0.990648646,0.906043046,0.829122698,0.003031855,0.000883819,0.687444448,0.99615722,BOMBAY
44942,796.344,306.4191835,187.7526283,1.63203672,0.7902913,45436,239.2110608,0.777328075,0.989127564,0.890555182,0.780666073,0.006818103,0.001562085,0.609439518,0.994627672,SIRA
